lat,long,silt%,clay%,sand%
37.03670128,-6.060947078,40.066677,56.617115,3.316208
37.04271846,14.83081971,48.865513,31.01447,20.120018
37.06023421,22.4048102,46.386463,12.684933,40.928604
37.0617876,-5.587020112,23.92743,23.776546,52.29603
37.0657061,-4.653103785,39.30693,30.1617,30.531372
37.06648076,-4.881036466,48.894897,34.33197,16.773132
37.07256131,21.59284177,33.98484,24.067083,41.948074
37.07348634,-4.836980239,36.354088,34.800636,28.845276
37.07514259,-5.727088615,48.157887,40.71806,11.124054
37.07623782,22.00037465,40.301258,15.355675,44.343067
37.07632356,14.52018307,25.192284,30.59517,44.212547
37.08135308,-3.701177471,55.125137,9.295213,35.57965
37.08395619,-4.770881688,40.190556,30.998905,28.81054
37.10095991,-5.573066277,42.199287,36.42446,21.376251
37.10227564,-5.893322727,30.263382,44.0559,25.680717
37.10569582,21.62098992,37.42597,34.97437,27.599663
37.106931,-4.0245189,40.443024,25.478262,34.078712
37.10825796,21.89279877,35.71492,23.566477,40.718605
37.11062615,-5.735218825,45.9124,34.94171,19.14589
37.11250501,-5.941434124,34.895798,51.632862,13.471344
37.11979405,22.3701846,38.983418,37.337215,23.679367
37.12046836,13.94168484,36.90973,51.81418,11.276093
37.12088521,21.64615076,33.569992,23.102646,43.327366
37.12302697,-7.917530136,41.49485,39.628883,18.876266
37.12705438,-4.256182412,39.847786,43.70716,16.445053
37.1270662,-4.96256813,33.38478,25.763866,40.851357
37.12806588,-4.006071637,46.98802,24.332975,28.679
37.12910366,-5.625160261,36.23808,49.119816,14.642105
37.13191831,-2.825703906,40.091606,22.449068,37.459328
37.1368977,-4.668266702,35.34012,26.19234,38.46754
37.13910423,-8.775251839,34.681656,25.03766,40.280685
37.14580396,-4.373935661,42.200134,38.770218,19.029648
37.14949229,-3.737459559,44.564205,24.613499,30.822296
37.15069102,-4.580028662,44.848923,32.50612,22.644958
37.15106255,-3.851488529,51.38391,27.768951,20.847137
37.15292575,22.53477978,37.836773,27.618946,34.54428
37.15573516,-8.225788031,41.62223,26.752296,31.625473
37.16096582,-8.481015615,30.960556,27.391329,41.648117
37.16134844,13.83215626,38.79721,34.592514,26.610275
37.16204034,-5.426929272,34.803726,35.350132,29.846138
37.16224415,21.60785898,35.62346,22.113142,42.263397
37.16375788,14.59297566,17.491753,19.25144,63.25681
37.16950493,-2.129813979,37.553673,11.266272,51.180054
37.17866631,-8.578214406,34.12867,31.082396,34.788933
37.17904644,-3.016073297,43.506577,18.325373,38.168053
37.17929393,-5.545124698,25.940353,43.939396,30.120247
37.17950053,-2.87994322,39.19099,18.011677,42.797333
37.18142495,-4.381383817,47.590363,31.421225,20.98841
37.18375499,22.01903546,27.587898,20.811005,51.601097
37.19070067,-4.793835937,40.26831,29.572098,30.159592
37.19093008,-5.913899227,16.16806,12.279113,71.552826
37.1941453,-8.02847573,48.470444,26.982054,24.5475
37.19448988,-4.885948051,42.562553,26.970736,30.466713
37.19467737,-5.1143339,49.573753,29.352114,21.074135
37.19580909,13.87880134,37.577133,45.643005,16.779861
37.20385046,13.67784154,37.61117,53.178516,9.210312
37.21591604,-5.210427738,41.90508,35.494564,22.600357
37.21880884,-6.287094239,22.314842,15.950331,61.73483
37.22562988,14.44025896,43.23522,37.384575,19.380203
37.22837742,13.97016681,46.837784,40.00016,13.162056
37.23209078,13.88081827,30.338036,60.80436,8.857605
37.23368286,-3.913686896,47.038017,26.072548,26.889435
37.23573922,-3.004063355,43.841312,20.602108,35.55658
37.23739435,-3.254428759,36.099064,15.285357,48.615578
37.2375057,22.02839687,25.293648,15.160187,59.546165
37.24080186,-4.941694374,41.082584,35.009823,23.907593
37.25420991,-2.462389451,44.520565,30.356052,25.123383
37.25516696,-7.514302953,37.16185,17.071238,45.766914
37.25598606,14.17334042,21.87239,19.030684,59.096924
37.25667988,-2.985289916,44.290432,23.445728,32.26384
37.25693209,-6.59463209,27.16188,18.739573,54.098545
37.26158578,21.69254093,35.944862,22.45413,41.601006
37.26285151,21.82874898,38.399048,28.19294,33.408012
37.27289639,13.77108318,26.434677,42.623367,30.941956
37.2822212,-6.026896833,39.179688,23.126593,37.693718
37.2835659,-1.809628085,47.633774,35.653824,16.712402
37.28628358,-3.036363352,44.093975,29.08414,26.821884
37.28697631,-5.226227555,42.906662,45.633224,11.460114
37.28731851,-3.673889452,41.041145,25.35578,33.603073
37.28738541,-4.289494645,41.112324,44.183582,14.704094
37.28742601,13.86149354,31.945923,42.83366,25.220413
37.28858078,-6.097209413,27.64701,19.98437,52.36862
37.29359604,-5.410813499,43.219685,36.24786,20.532455
37.29488514,-2.151882077,35.455894,11.847913,52.696194
37.29604327,14.48958917,28.778084,35.475082,35.746834
37.2967685,-5.503127091,35.88803,28.226751,35.885216
37.30280054,13.92958281,33.736282,46.737164,19.52655
37.30339101,-4.543990157,45.79941,40.13473,14.065857
37.30722945,-3.017588157,48.858597,30.278795,20.86261
37.3078822,-4.750583582,48.130165,32.592857,19.276978
37.31004501,-3.76958437,47.021996,28.330256,24.64775
37.31387783,-6.057283997,38.062798,20.827326,41.10988
37.31430066,14.08715678,32.201187,38.23082,29.567993
37.31917236,14.76025122,44.06126,25.734364,30.204376
37.32057666,-5.691872663,32.176743,43.842136,23.981117
37.32119349,-6.334529917,28.73883,15.838152,55.42302
37.32156629,-7.554494274,37.178787,15.264318,47.556892
37.3219921,-4.182579004,40.1889,46.02721,13.78389
37.33550426,-6.774803194,34.35193,18.422054,47.22602
37.33676436,-8.621613437,47.547478,27.729002,24.723518
37.34165091,14.29063235,17.117493,12.564724,70.31779
37.34330231,-6.523714328,22.393295,21.31512,56.29158
37.34863645,-5.744200879,33.390945,40.917076,25.691978
37.35189823,-3.983328296,43.43057,28.088696,28.480736
37.35451808,-4.920787122,40.229332,51.23803,8.532639
37.3561368,-3.32292519,50.872147,25.348303,23.779549
37.35647901,-4.075566102,39.85002,31.965485,28.184494
37.36158243,22.48185866,45.016403,28.873796,26.109802
37.36173444,-5.105491555,39.31425,43.03989,17.645859
37.36524418,-4.968906067,39.43186,41.302483,19.265656
37.36867381,-3.234225432,43.37571,26.073982,30.550308
37.3705724,13.5969351,39.255814,56.165077,4.579109
37.37578642,-5.246042532,32.41748,28.293304,39.289215
37.3763994,13.44022714,37.04083,52.61938,10.33979
37.37948444,-4.994924184,43.07579,25.862488,31.061722
37.38013288,14.98898523,40.78652,44.612576,14.600906
37.38095128,-6.096078098,39.882458,19.634552,40.48299
37.38242109,22.46290477,32.71747,19.09106,48.191467
37.38283422,-4.858307247,46.25548,35.79484,17.949677
37.38855887,-5.615753914,36.46529,49.343777,14.190933
37.3891618,-5.501205086,28.414856,46.5372,25.047943
37.38983413,-4.814054209,36.79602,32.92009,30.28389
37.39430662,-6.858424314,36.293648,33.0084,30.697952
37.40037811,-6.721746631,40.646736,27.43033,31.922935
37.40091942,-5.871087707,22.721733,21.635836,55.642433
37.40247033,-3.765353799,45.36597,28.596233,26.037796
37.40324832,-5.527350292,41.181545,47.341915,11.47654
37.40839424,-5.826902789,18.92537,14.7988615,66.27577
37.41104438,13.48682412,40.401863,53.114983,6.4831543
37.41289792,-4.430064145,43.128757,37.303524,19.567719
37.413259,-4.064410795,34.73902,46.153633,19.107346
37.41421136,-5.461026443,22.728508,28.374756,48.896736
37.41705178,-3.791119331,40.49552,35.544655,23.959824
37.41752205,-3.015750108,48.438667,28.630295,22.931038
37.4213083,22.58376455,44.289104,33.670826,22.04007
37.42365746,-2.971344695,45.94493,34.248276,19.806793
37.42668585,13.55494864,32.834625,59.65145,7.5139236
37.42739331,-6.360060897,47.324528,48.117474,4.5579987
37.42796452,-4.570525526,35.917984,40.545074,23.536942
37.42845165,21.67549216,37.955273,23.1927,38.852028
37.42973129,-1.812027198,42.30238,31.069157,26.628464
37.42978993,-3.953570959,50.35624,37.660805,11.982956
37.43238126,-4.777497205,43.036507,31.31737,25.646126
37.43919572,-2.587049516,44.611782,22.537746,32.85047
37.43994321,-8.001415407,35.666504,11.548219,52.785275
37.44122982,-6.386409578,45.85875,48.68611,5.455139
37.44224404,-4.116096403,45.649815,41.32136,13.028824
37.44605434,-5.49121314,31.877556,50.494614,17.62783
37.44613693,-3.591478009,44.7386,28.809784,26.451614
37.44699575,-5.147323961,44.771904,30.178751,25.049347
37.44702882,-5.032708362,44.5653,25.299852,30.13485
37.44786651,-3.705984346,47.77286,32.97115,19.25599
37.45100952,-2.77143665,45.653847,21.774752,32.571404
37.4540125,-5.217685116,38.48857,29.124573,32.386856
37.45921923,-3.753944803,38.52311,21.2386,40.23829
37.46469687,-4.921994629,39.74463,49.071083,11.184288
37.46718465,-3.57283057,43.190468,33.549652,23.25988
37.46804692,-3.048165166,39.46153,25.486294,35.052177
37.47269016,-3.277169503,47.007782,24.527992,28.464226
37.47474137,-5.428871959,35.334778,54.4704,10.194817
37.47794024,-2.57139304,43.969826,21.11895,34.911224
37.47894718,-4.948043644,36.51174,54.77288,8.715378
37.48091281,-2.685859367,42.11611,11.745656,46.138233
37.48185976,-4.696581529,42.271824,34.81326,22.914917
37.48564446,14.70422644,35.752,48.878834,15.369171
37.48677156,-3.690946727,50.591072,25.368608,24.040321
37.48737543,-1.9356872,29.915619,13.703162,56.38122
37.48784644,13.85018143,36.639652,50.29884,13.061508
37.4882285,-3.554173031,44.49401,30.446037,25.059952
37.49270225,14.16510806,45.647507,37.16179,17.190704
37.50098655,-3.465339311,43.113533,24.853737,32.03273
37.50162898,-5.710692288,27.544304,29.11236,43.343338
37.50500784,13.40167107,41.086636,52.1543,6.7590637
37.50766419,-2.485706338,48.674683,30.57767,20.74765
37.50926845,-3.535505379,39.604496,21.647388,38.748116
37.51424028,-5.300047391,33.160583,50.015705,16.823715
37.51778595,-3.217442768,42.74176,25.00979,32.24845
37.52144941,-5.255746643,31.076584,42.025272,26.898148
37.52739063,14.59457262,38.6581,42.47407,18.867828
37.52788386,13.26793774,39.909325,36.393433,23.697243
37.52834896,-3.402200687,45.992672,24.378582,29.628746
37.52854786,-2.740310526,48.83936,26.552166,24.608475
37.52966525,-5.763180488,18.677567,12.602152,68.72028
37.53169724,14.50486644,36.262196,55.82281,7.9149933
37.53407708,-4.478656852,46.535072,28.920927,24.543999
37.53854632,-3.587032116,45.94423,27.427172,26.628601
37.53913751,-2.104107931,43.15323,14.46039,42.386383
37.53978704,-2.240894408,42.143005,19.47965,38.377342
37.54933362,-2.447724015,46.059692,32.510437,21.42987
37.55221821,-2.835994322,45.73674,29.75582,24.507439
37.55356347,-4.941508237,34.519547,49.93869,15.541763
37.55417967,-2.129551503,35.472176,24.441278,40.086548
37.55515832,21.83366937,29.878883,14.970803,55.150314
37.55673214,-7.777729769,34.349945,13.755614,51.89444
37.56346072,-2.199556877,51.06124,27.711454,21.227303
37.56598867,-3.523905935,48.122074,27.613628,24.264297
37.56784366,-5.082410867,36.00756,31.797493,32.194946
37.57033773,-2.565587991,42.40373,23.556751,34.03952
37.57135358,-4.23449673,41.36089,30.62518,28.013931
37.57438479,-5.382567622,30.148819,32.33352,37.51766
37.5755849,-2.247308657,44.34765,28.397295,27.255058
37.57698424,-5.590117236,33.394043,42.613037,23.99292
37.5775195,-3.823600773,40.25734,29.741728,30.00093
37.57816004,-8.711708338,19.081078,9.3518915,71.56703
37.57865714,21.79219197,56.273956,21.57123,22.154816
37.58065877,-2.065887909,45.01113,23.756464,31.232407
37.58107022,-6.743347982,44.76541,26.87591,28.35868
37.5815285,13.29296681,33.85704,41.12344,25.019524
37.58189481,-5.890443596,39.162727,48.63578,12.201492
37.58508789,-4.741858078,35.993286,25.20404,38.802677
37.58809005,-4.123439937,42.209137,40.718704,17.072159
37.58918728,-1.999031862,28.403343,15.700739,55.89592
37.59098696,-2.409700367,38.46379,21.442211,40.093998
37.59338939,-3.460733397,50.84488,31.275263,17.87986
37.59347574,-4.330812785,42.876686,25.16835,31.954964
37.59571021,-2.091339374,37.953827,24.425499,37.620674
37.59936226,13.78887452,40.07084,41.03396,18.895203
37.59973643,-3.416247445,33.938873,23.719717,42.341408
37.60080099,-3.279264735,38.43093,29.92217,31.646896
37.60139159,-5.664777941,42.20064,33.61276,24.1866
37.60242026,-4.630873566,31.788116,30.402683,37.8092
37.60594256,-2.435234984,38.366806,25.806608,35.826584
37.60788866,-2.139092876,35.562744,10.148601,54.28866
37.607923,13.0467252,36.6549,33.748062,29.597038
37.60898948,21.54690036,33.427277,18.319946,48.25278
37.60931694,-4.586466301,41.19872,43.889782,14.911499
37.614915,22.77928334,34.447296,34.64467,30.908035
37.62094198,22.73473792,32.356133,16.060457,51.583412
37.62365828,-4.612500898,40.730732,30.241993,29.027275
37.62426656,-7.517479223,26.112526,12.894129,60.993347
37.62713657,-5.509600841,39.019714,40.4319,20.548386
37.63542648,-3.423286407,41.970085,36.439888,21.590027
37.63637118,-7.845168807,32.045837,13.051447,54.902718
37.64053072,13.16071357,44.42487,43.949886,11.625244
37.64348123,13.07080532,37.69236,45.586662,16.720978
37.64361575,14.44457641,19.761414,14.852094,65.38649
37.64492458,13.0258487,31.373756,26.033092,42.59315
37.64601061,-5.053832046,26.04898,38.79365,35.15737
37.64667545,23.08237881,45.638474,24.256433,30.105095
37.64687796,-4.342089897,50.83498,32.93693,16.228088
37.65032167,21.80457385,42.30967,29.610662,28.079666
37.65202644,-8.244007388,38.250977,17.306562,44.44246
37.65313781,12.75607559,23.938774,24.311571,51.749657
37.65701291,-4.275401988,46.1517,39.7225,14.125801
37.65904989,13.65700471,41.360992,51.003387,7.63562
37.65960854,-2.445029542,31.845657,26.265858,41.88848
37.66261457,-5.517738282,36.451286,21.56323,41.98548
37.67049818,-4.783417826,39.92599,26.6749,33.39911
37.67075532,-4.898389428,36.060593,43.548904,20.390503
37.67714258,-4.141975445,44.218555,32.983532,22.797913
37.67746752,-4.738979337,34.478523,26.85863,38.66285
37.67754218,12.53188977,30.789917,24.70314,44.506943
37.69093695,-2.062588171,33.866486,20.851654,45.281864
37.6926772,13.23068942,32.227875,32.11179,35.66034
37.69313879,-1.150976526,42.482475,26.255934,31.26159
37.69421327,-4.512856784,34.71898,35.0531,30.22792
37.701473,12.96074744,31.862137,33.76763,34.37023
37.70434947,-8.165260477,34.325058,12.1647415,53.510197
37.70506672,21.35800172,51.855545,24.314337,23.830116
37.70546324,-8.630849544,51.60508,18.262512,30.132408
37.70586743,-5.366421505,41.590218,35.28222,23.127563
37.70743585,22.63661679,42.35384,22.343647,35.302513
37.71013656,12.66824548,32.971024,42.255272,24.773705
37.71032356,-2.477157882,41.734978,20.507288,37.757736
37.71189903,-3.530048735,41.744392,20.456865,37.798744
37.713397,22.59200333,36.354393,15.043841,48.601765
37.71491751,21.42803223,41.496304,21.797905,36.70579
37.72214977,22.79943962,48.698296,30.867785,20.433922
37.73092128,22.86972992,59.309086,23.412884,17.27803
37.73316501,12.48886939,27.653412,27.810654,44.53593
37.73810354,-4.821202314,52.43211,31.107555,16.460335
37.73845191,12.93979852,34.7903,31.92354,33.286163
37.73925745,-4.338685858,42.108902,48.479218,9.4118805
37.74045087,-3.32949022,50.822445,31.855183,17.322372
37.74264091,21.50111211,35.30741,17.669416,47.02317
37.74535204,-4.891820468,29.420502,38.34083,32.23867
37.760559,-2.921135611,34.029587,15.015497,50.954918
37.76071795,-3.700343313,46.451733,43.78879,9.759476
37.76599437,-1.459423568,52.113297,39.33261,8.554092
37.76718005,-3.655768235,50.2967,36.220413,13.482887
37.7680648,-4.3907643,35.233566,45.844456,18.921982
37.76952603,-2.305093885,37.606495,23.321476,39.07203
37.7698361,-4.736115532,39.8444,31.238213,28.917389
37.77042098,13.59524765,56.201454,29.882462,13.916084
37.77221911,-4.483612143,39.355865,48.794525,11.849609
37.77566091,-0.913699658,51.201534,39.207752,9.5907135
37.7771473,-4.806754607,43.87422,46.143356,9.982422
37.77822715,-2.238079904,39.078873,25.867155,35.05397
37.78453913,-4.992580971,35.99594,23.031923,40.972137
37.78580201,12.55842557,37.51163,41.314922,21.173447
37.78782514,-2.720253365,42.911774,25.37297,31.715256
37.78940142,13.57367567,39.77809,36.479523,23.742386
37.79202638,-1.395338631,48.471268,42.28836,9.240372
37.79276796,-3.982353036,36.591084,46.334286,17.07463
37.79681971,22.653262,43.539993,30.256254,26.20375
37.80149623,13.23580493,37.07304,49.33283,13.594131
37.80279124,-4.283188138,36.73169,31.239569,32.02874
37.80585444,-5.08949015,39.78308,21.337324,38.879593
37.80704998,-4.376071432,37.05117,47.623146,15.325684
37.80870175,22.70127226,43.995773,29.51235,26.491875
37.81149576,-2.816305147,47.63182,15.800119,36.56806
37.81390734,-1.056690514,51.05093,38.104588,10.844482
37.81401347,-2.244533836,41.09246,27.074965,31.832573
37.81442626,12.83023055,26.118362,35.505363,38.37627
37.81573174,13.34932448,35.224426,41.346542,23.429031
37.81711773,21.78783725,29.028023,15.534749,55.43723
37.82211198,-3.529129377,43.102592,41.045517,15.851891
37.82839431,23.98972572,27.36277,17.122095,55.515137
37.83307514,-4.565725811,40.97037,37.961605,21.068024
37.83739715,-4.175512347,36.94393,41.847565,21.208504
37.83911168,-3.280091768,46.572582,38.329563,15.097855
37.84056766,-2.180685109,36.936195,26.367912,36.695892
37.84102488,-8.318924201,31.643402,15.101991,53.254604
37.84122884,13.64412381,26.691345,32.818928,40.489723
37.8444959,22.57054714,38.339123,41.94733,19.713547
37.84619508,-3.09797445,46.40867,41.68038,11.91095
37.84689882,-2.273359487,27.05835,24.658157,48.283493
37.85021042,-4.454317182,46.70226,37.114147,16.183594
37.85119076,21.3595833,34.38562,17.012106,48.602272
37.85269091,-2.228633609,35.608086,26.307316,38.0846
37.85308975,-3.696095171,45.98076,36.11711,17.90213
37.85463222,12.6964357,34.818466,51.895817,13.285721
37.85473668,-3.168442796,46.706806,30.165905,23.127289
37.85610038,-3.926500784,37.540226,48.928684,13.53109
37.85849208,13.66763071,34.216774,51.27787,14.505356
37.86070877,-4.019416263,45.154625,47.41004,7.4353333
37.86107736,14.05185749,38.406837,31.74367,29.849495
37.86115851,-4.502712047,36.502434,39.55329,23.944275
37.86188429,-2.298966599,33.432846,24.81633,41.75082
37.86834532,14.68522597,35.697906,36.075993,28.226105
37.87082439,21.49997211,49.15718,16.685913,34.156906
37.87204858,-8.444053459,17.993309,10.882995,71.123695
37.87326391,13.26177979,31.30017,49.57664,19.123192
37.87359195,-7.861935525,32.752335,32.928204,34.319458
37.87429371,22.62190853,41.23635,24.750343,34.013306
37.87466429,12.62948056,36.185257,52.356606,11.4581375
37.87653787,-8.702020387,45.042374,27.245653,27.711975
37.87686216,-2.32458574,37.12667,19.557337,43.315994
37.88000124,13.05879925,34.739243,51.57396,13.686798
37.88335187,-7.51554572,34.158157,17.08061,48.76123
37.88514549,21.2281783,49.774796,25.260004,24.965202
37.88783856,-2.097612653,41.40398,19.338802,39.257217
37.88943737,13.80489206,31.07013,51.467415,17.462456
37.89170312,22.90030649,58.62227,26.80964,14.568092
37.89572359,-7.449027508,35.651566,17.790257,46.55818
37.89730625,-4.625705227,40.697567,40.65711,18.645325
37.89799401,-2.442984325,32.328186,28.709496,38.96232
37.89963949,-4.004503883,46.03088,48.084522,5.884598
