lat,long,sand%
47.9710347,23.2118736,20.394135
56.52812661,13.10214661,67.84303
39.00229833,23.35089001,44.186745
56.60374575,12.94541443,46.623672
45.23356533,26.43842328,43.29235
46.9951091,24.00600894,29.011475
56.52575991,13.1994736,64.46571
46.95644361,24.022343,32.91239
58.75283723,14.05465486,13.68837
46.78341594,23.94896118,57.149887
46.54391151,23.96489462,33.92701
38.97396454,23.1584526,38.08219
46.63888447,23.93699038,38.33596
58.66999807,13.80393381,28.59607
59.12183505,13.01548413,12.762405
46.6538445,24.1008557,38.381752
46.79883909,24.24708119,37.88958
46.71755441,24.17146124,38.009167
58.37881167,13.909812,19.296791
47.95976085,-0.275611224,28.312912
52.24536807,-2.113960135,36.780025
45.31325879,26.51504673,24.260849
52.71476725,-0.833438546,32.08661
48.06610001,-0.107446351,14.520721
52.80165864,-0.674965265,38.231354
58.33787463,14.07611723,15.901855
48.02557077,-0.153515958,30.808807
54.18372807,-7.581887812,53.0935
53.05830234,-0.01424278,15.620132
44.82848114,25.61689058,46.373447
58.67148161,14.35566581,70.61374
58.64096509,14.1796797,43.409225
59.1253648,14.79646112,26.206406
51.27459389,-1.650052214,19.27314
52.25711422,-1.819656222,28.77092
52.76352724,-0.695578959,35.3938
52.63665368,-0.694313141,37.83722
48.10661024,-0.061307372,19.839493
48.11209983,-0.19809357,27.967628
58.14923993,13.03607955,47.316353
57.98979859,12.92140897,57.003773
57.50169562,18.4356611,29.834648
55.09795444,-6.983547173,55.958496
40.57264199,21.20012261,58.51006
59.56086428,14.14963596,55.495674
55.02892528,-7.08311912,46.11468
54.96267916,-2.415460322,44.54622
49.06993495,3.353896534,3.643196
48.18757351,0.03117944,19.741425
58.24058481,12.97568627,76.8495
52.76146633,-0.515100198,15.684189
37.64667545,23.08237881,30.105095
57.28229707,18.18559202,40.81066
52.68003271,-0.615150121,27.36467
44.34669845,26.12360871,28.197777
44.25707528,26.22606338,26.855385
58.08657825,12.59036415,31.739967
47.9693109,23.07509803,48.860123
58.08525659,12.65802564,43.587055
56.37622523,-5.188102205,53.81197
42.20533692,25.731913,15.538071
43.56534626,25.1169654,17.98085
43.53253297,25.33571383,9.305374
58.08036261,12.89480327,35.794853
53.17748012,-3.108459156,41.627625
51.11625443,-4.198340473,68.15367
44.21417694,26.26491875,69.45107
48.00706871,0.039743983,38.652107
47.96659922,-0.006392204,24.50644
48.0151398,-0.070164503,15.882843
57.96078852,12.5814378,53.356403
43.66795364,25.04291194,23.597763
49.22404879,2.643124043,15.476418
57.05788455,18.30251792,63.56762
37.614915,22.77928334,30.908035
47.80389138,23.0866081,28.084015
57.13131558,18.28554618,49.70784
46.04881667,2.461807178,52.96654
37.70743585,22.63661679,35.302513
37.713397,22.59200333,48.601765
45.96649206,2.576986739,61.72848
49.06618138,2.996936665,8.528351
37.62094198,22.73473792,51.583412
41.21715198,14.83666727,19.85559
49.22044319,2.588452105,31.333916
58.32085225,12.57308487,17.600647
45.87660307,2.330526084,57.63613
57.56877594,18.51832647,73.029366
57.45215369,-2.095779598,53.482376
38.05676865,24.54498136,21.90625
45.69379894,2.304721933,54.44567
51.44915106,-1.89948345,10.620056
45.39852265,-0.302801832,13.080635
45.71008907,2.792553156,38.700233
45.77298125,2.655113303,53.97195
45.35288767,-0.39727547,27.058952
48.89488608,1.566924146,12.973473
45.58635666,-0.959792135,30.027756
51.43400146,-1.691096267,24.239166
51.71443727,-1.793563968,25.255653
51.48455221,-1.908819448,10.626205
45.63248832,-0.865390807,37.030785
48.8255154,1.606205358,25.911224
53.26424883,-1.367731192,25.287788
48.93151319,3.454791464,4.769638
45.71909875,2.404376638,50.222427
45.44701399,-0.363569057,14.477837
45.36568281,-0.451258877,19.06401
45.54869678,-0.796869204,33.544327
53.21826601,-0.051671515,50.044006
52.75118064,-0.003219756,22.798859
38.04852093,24.35850544,29.613136
47.87690562,22.77915285,46.725395
46.67364479,2.346713426,31.005066
45.80593313,-0.406319829,21.186417
45.48515963,-0.344988593,18.453033
45.55395049,-0.38392257,20.817154
46.11872087,2.685923903,53.02749
45.66095902,-0.585834154,19.618378
46.1240938,2.503244494,44.68493
45.69399576,-0.436669948,29.835136
53.21196317,0.312908503,17.220093
45.55916386,-0.514261574,28.675087
45.86962318,-0.496664251,11.328445
45.69634156,-0.774379526,23.030167
51.35115641,-1.611450336,16.797432
49.00632989,3.499755749,4.6477127
45.45730806,-0.442978158,38.62509
48.99000351,3.529351735,17.334877
